ticker,company_name,sector,industry,current_price,market_cap,trailing_pe,forward_pe,eps_current_year,forward_eps,earnings_growth_decimal,revenue_growth_decimal,peg_ratio_raw,peg_ratio_fallback,peg_ratio_final,sec_filings_url
VMC,Vulcan Materials Company,Materials,Construction Materials,274.15,36204523520.0,42.76911,,6.41,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=VMC
WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance,58.83,22290688000.0,13.493119,,4.36,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=WRB
GWW,W. W. Grainger,Industrials,Industrial Machinery & Supplies & Components,1062.67,51752243200.0,28.767464,,36.94,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GWW
WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,207.92,35739369472.0,34.65333,,6.0,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=WAB
WBA,Walgreens Boots Alliance,,Drug Retail,10.28,8883492864.0,,,-10.24,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=WBA
WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,98.16,792493817856.0,40.9,,2.4,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=WMT
DIS,Walt Disney Company (The),Communication Services,Movies & Entertainment,113.06,205133807616.0,41.719555,,2.71,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DIS
WBD,Warner Bros. Discovery,Communication Services,Broadcasting,10.44,26052601856.0,,,-4.5,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=WBD
WM,Waste Management,Industrials,Environmental & Facilities Services,220.26,88404877312.0,32.343613,,6.81,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=WM
WAT,Waters Corporation,Health Care,Life Sciences Tools & Services,415.48,24669624320.0,39.682903,,10.47,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=WAT
WEC,WEC Energy Group,Utilities,Electric Utilities,99.26,31401297920.0,24.268948,,4.09,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=WEC
WFC,Wells Fargo,Financials,Diversified Banks,78.8,259234676736.0,14.674116,,5.37,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=WFC
WELL,Welltower,Real Estate,Health Care REITs,136.48,84984725504.0,87.48718,,1.56,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=WELL
WST,West Pharmaceutical Services,Health Care,Health Care Supplies,341.55,24735868928.0,50.675076,,6.74,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=WST
WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals",65.13,22515961856.0,18.823698,,3.46,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=WDC
WY,Weyerhaeuser,Real Estate,Timber REITs,30.62,22247942144.0,41.945206,,0.73,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=WY
WMB,Williams Companies,Energy,Oil & Gas Storage & Transportation,55.43,67569725440.0,23.48729,,2.36,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=WMB
WTW,Willis Towers Watson,Financials,Insurance Brokers,329.565,33195433984.0,,,-7.22,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=WTW
WYNN,Wynn Resorts,Consumer Discretionary,Casinos & Gaming,86.85,9537432576.0,10.42617,,8.33,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=WYNN
XEL,Xcel Energy,Utilities,Multi-Utilities,67.2,38589059072.0,19.940653,,3.37,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=XEL
XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,124.04,30134896640.0,35.643677,,3.48,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=XYL
YUM,Yum! Brands,Consumer Discretionary,Restaurants,130.5,36418895872.0,24.392525,,5.35,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=YUM
ZBRA,Zebra Technologies,Information Technology,Electronic Equipment & Instruments,391.94,20216264704.0,53.39782,,7.34,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ZBRA
ZBH,Zimmer Biomet,Health Care,Health Care Equipment,109.48,21794621440.0,20.893131,,5.24,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ZBH
ZTS,Zoetis,Health Care,Pharmaceuticals,170.9,77104095232.0,32.124058,,5.32,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ZTS
